年月,开盘,收盘,最高,最低,成交量,涨跌幅
2016-01,3536.589,2737.6,3538.689,2638.302,400777170432,-22.59
2016-02,2730.984,2687.979,2933.964,2638.963,301329091584,-1.57
2016-03,2688.38,3003.915,3028.322,2668.757,508460013312,11.74
2016-04,2997.088,2938.324,3097.165,2905.049,378696335616,-1.96
2016-05,2940.392,2916.616,3004.418,2780.763,285384827392,-0.81
2016-06,2917.154,2929.606,2945.942,2807.598,317593868544,0.43
2016-07,2931.802,2979.338,3069.047,2922.52,401165924352,1.62
2016-08,2971.949,3085.491,3140.44,2931.963,395621822976,3.82
2016-09,3083.96,3004.703,3105.677,2969.132,279583218176,-2.57
2016-10,3020.456,3100.492,3137.033,3014.619,278313010432,2.65
2016-11,3101.663,3250.034,3301.213,3094.102,520079940864,4.78
2016-12,3257.026,3103.637,3279.713,3068.415,396593146624,-4.71
